STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NOR,Norway,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2020,,4.35,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NOR,Norway,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2019,,13.85,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NOR,Norway,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2018,,14.8,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NOR,Norway,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2017,,13.44,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NOR,Norway,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2016,,13.27,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NOR,Norway,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2015,,15.1,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NOR,Norway,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2014,,14.78,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,NOR,Norway,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2013,,12.5,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2018,,550.66,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2000,,501.16,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
